Common Name,KWT,Maximum Canopy Space,Primary ID,Scientific Name,Town / Parish,longitude,latitude
Common beech,0101000020110F000054398C8DB25A00C1B4D79C21E4C45941,>12m Diameter,6666,Fagus sylvatica,Oxford City Area (Unparished),-133974.3191151122,6755216.525197912
Downy mespilus 'Robin Hill',0101000020110F0000BD37D599965300C1C15C83DEDDC45941,≤6m Diameter,6665,Amelanchier arborea 'Robin Hill',Oxford City Area (Unparished),-133746.8251137118,6755191.47676772
Broad-leaved cockspur thorn,0101000020110F00008193CC5DAD4A01C1F696227B60CB5941,≤6m Diameter,6605,Crataegus persimilis 'Prunifolia Splendens',Oxford City Area (Unparished),-141653.67080035436,6761857.923986187
Freeman's Maple 'Autumn Blaze',0101000020110F0000624DC91F0D4A01C18B63C5FE66CB5941,>6m ≤12m Diameter,6490,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished),-141633.64052067237,6761883.980797659
Silver Lime 'Brabant',0101000020110F00002C3D4EDA3D4A01C1579C807F63CB5941,>12m Diameter,6489,Tilia tomentosa 'Brabant',Oxford City Area (Unparished),-141639.73159454146,6761869.992224774
Silver Lime 'Brabant',0101000020110F000089AE08D6E94A01C17DDA33F163CB5941,>12m Diameter,6488,Tilia tomentosa 'Brabant',Oxford City Area (Unparished),-141661.22950874668,6761871.768789885
Freeman's Maple 'Autumn Blaze',0101000020110F000066B268FB774B01C1F38DA99F60CB5941,>6m ≤12m Diameter,6487,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished),-141678.99775828718,6761858.494723785
Redbud 'Forest Pansy',0101000020110F000074FC43C0D24B01C1E3FB05245ACB5941,>6m ≤12m Diameter,6486,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished),-141690.34387967328,6761832.56286523
Silver Lime 'Brabant',0101000020110F00002AAA3086024C01C10701A69B5DCB5941,>12m Diameter,6485,Tilia tomentosa 'Brabant',Oxford City Area (Unparished),-141696.31552250806,6761846.432007081
Midland Hawthorn 'Crimson Cloud',0101000020110F0000134B022E754C01C1F7FFED3C5BCB5941,≤6m Diameter,6484,Crataegus laevigata 'Crimson Cloud' ,Oxford City Area (Unparished),-141710.64746531154,6761836.952026359
Worplesdon sweet gum,0101000020110F00000CECFC32764D01C1A1BED65C52CB5941,>6m ≤12m Diameter,6482,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished),-141742.77489647304,6761801.450606973
Tibetan cherry,0101000020110F00002AA59BB8414E01C1C64A14474FCB5941,>6m ≤12m Diameter,6481,Prunus serrula,Oxford City Area (Unparished),-141768.2151406196,6761789.1106135305
Redbud 'Forest Pansy',0101000020110F000009F636CCC04E01C10608CA8A4DCB5941,>6m ≤12m Diameter,6480,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished),-141784.09971420493,6761782.1685810145
Worplesdon sweet gum,0101000020110F00001028CCE26D4F01C1B457083C4FCB5941,>6m ≤12m Diameter,6478,Liquidambar styraciflua 'Worplesdon',Oxford City Area (Unparished),-141805.7357409601,6761788.938009191
Midland Hawthorn 'Crimson Cloud',0101000020110F00001E72A7A7C84F01C1893A5C184ACB5941,≤6m Diameter,6477,Crataegus laevigata 'Crimson Cloud' ,Oxford City Area (Unparished),-141817.0818623462,6761768.38062919
Downy mespilus 'Robin Hill',0101000020110F000039065E317E5001C133C943AC47CB5941,≤6m Diameter,6476,Amelanchier arborea 'Robin Hill',Oxford City Area (Unparished),-141839.77410511838,6761758.691637325
Freeman's Maple 'Autumn Blaze',0101000020110F0000CA2E440EA75101C133DDCBB043CB5941,>6m ≤12m Diameter,6464,Acer x freemanii 'Autumn Blaze',Oxford City Area (Unparished),-141876.8819659858,6761742.762442875
Midland Hawthorn 'Crimson Cloud',0101000020110F000016398DE16B5201C1467322D040CB5941,≤6m Diameter,6461,Crataegus laevigata 'Crimson Cloud' ,Oxford City Area (Unparished),-141901.48513264273,6761731.252102679
