Common Name,KWT,Maximum Canopy Space,Primary ID,Scientific Name,Town / Parish
Pedunculate oak 'Select',0101000020110F000082DE80EF9A8B00C10FD03AE71EC05941,>6m ≤12m Diameter,5554,Quercus robur 'Select',Littlemore CP
Broad-leaved cockspur thorn,0101000020110F0000F37631131C8A00C1FFDE23BC39BF5941,≤6m Diameter,5539,Crataegus persimilis 'Prunifolia Splendens',Littlemore CP
Japanese white birch 'Dakota Pinnacle',0101000020110F000067CA0691B48900C13D9CD9FF37BF5941,≤6m Diameter,5536,Betula platyphylla 'Dakota Pinnacle' ,Littlemore CP
Red Maple 'October Glory',0101000020110F000064416C8F6B5000C169E08A873AC55941,>6m ≤12m Diameter,5530,Acer rubrum 'October Glory',Oxford City Area (Unparished)
River Birch,0101000020110F0000EE781F91955100C1A7DC19A5CCC45941,>6m ≤12m Diameter,5529,Betula nigra,Oxford City Area (Unparished)
Redbud 'Forest Pansy',0101000020110F00002919DCF5015300C1C10F89CCD8C45941,>6m ≤12m Diameter,5528,Cercis canadensis 'Forest Pansy',Oxford City Area (Unparished)
Tibetan cherry,0101000020110F00000B15403B475300C1C9C12D3BDBC45941,>6m ≤12m Diameter,5527,Prunus serrula,Oxford City Area (Unparished)
Hupeh rowan,0101000020110F00007314D1616E5800C10742433EE2C45941,≤6m Diameter,5526,Sorbus hupehensis,Oxford City Area (Unparished)
Winter flowering cherry,0101000020110F0000C45F7A30854C00C12910BE2CFCC45941,≤6m Diameter,5522,Prunus x subhirtella 'Autumnalis',Oxford City Area (Unparished)
Red Maple 'October Glory',0101000020110F000098F08001C44D00C11384E056DDC45941,>6m ≤12m Diameter,5519,Acer rubrum 'October Glory',Oxford City Area (Unparished)
Purple beech,0101000020110F0000AFF31FFCF04400C1A5C9840EA0C45941,>6m ≤12m Diameter,5517,Fagus sylvatica atropurpurea,Risinghurst and Sandhills CP
Silver birch,0101000020110F0000BFED7C011C4100C1EB53D20C04C05941,>6m ≤12m Diameter,5475,Betula pendula,Blackbird Leys CP
Grey alder 'Aurea',0101000020110F00006D265AFF714100C1C11CDE3302C05941,>6m ≤12m Diameter,5474,Alnus incana 'Aurea' ,Blackbird Leys CP
Worplesdon sweet gum,0101000020110F00004CE80F02C44100C1967F647400C05941,>6m ≤12m Diameter,5473,Liquidambar styraciflua 'Worplesdon',Blackbird Leys CP
River Birch,0101000020110F00007DBE9D420D4200C1F5D222DBFEBF5941,>6m ≤12m Diameter,5472,Betula nigra,Blackbird Leys CP
Common beech,0101000020110F0000AF97AD821B4A00C139D38F9A19C05941,>12m Diameter,5454,Fagus sylvatica,Blackbird Leys CP
